,text,created_at,author_id,edit_history_tweet_ids,id
0,Do Americans like talking politics at the Thanksgiving table? https://t.co/y5ACoKAGhx,2022-11-22T17:06:05.000Z,2303751216,['1595101322432454657'],1595101322432454657
1,"Our updating calculation of the president's approval rating accounts for each poll's quality, recency, sample size and partisan lean. https://t.co/yFbIceVXEi",2022-11-22T15:50:04.000Z,2303751216,['1595082191683596288'],1595082191683596288
2,"The best NBA players, according to RAPTOR https://t.co/LYusjJr1P4",2022-11-22T14:30:11.000Z,2303751216,['1595062090183725057'],1595062090183725057
3,"While many perceived the economy as a more pressing concern generally, abortion was a motivating issue for a substantial number of voters in this election — and their enthusiasm may have helped give Democrats an edge. https://t.co/dMHXEXOf2h",2022-11-22T00:28:02.000Z,2303751216,['1594850153806061575'],1594850153806061575
4,Does trading for an NBA star work? It's complicated. https://t.co/dIBwc4zIWl,2022-11-21T22:44:03.000Z,2303751216,['1594823986789384192'],1594823986789384192
5,Congress will have the most Black Republicans in over a century — but that’s not saying a lot. https://t.co/vyhtatCxxV,2022-11-21T20:28:02.000Z,2303751216,['1594789756075794432'],1594789756075794432
6,Check out our popular polling averages: https://t.co/CilbvMbq9u,2022-11-21T18:50:05.000Z,2303751216,['1594765107350732800'],1594765107350732800
7,Our #WorldCup predictions: https://t.co/B0tBVmX49p,2022-11-21T17:17:01.000Z,2303751216,['1594741686558670849'],1594741686558670849
8,Which World Cup player should you root for? https://t.co/ZSeSgQahCU,2022-11-21T17:06:01.000Z,2303751216,['1594738916514402304'],1594738916514402304
9,The midterms made state governments bluer https://t.co/qfidHTAeI5,2022-11-21T15:45:01.000Z,2303751216,['1594718534327730190'],1594718534327730190
10,Our NHL predictions: https://t.co/kLJIGfQc15,2022-11-21T13:26:02.000Z,2303751216,['1594683556885893121'],1594683556885893121
11,Voter turnout was high again. Is this the new normal? https://t.co/jMtPcRoyqH,2022-11-20T23:28:04.000Z,2303751216,['1594472677959409664'],1594472677959409664
12,"The best NFL receivers, according to ESPN analytics: https://t.co/ClPl6OjXvs",2022-11-20T20:22:04.000Z,2303751216,['1594425868281122816'],1594425868281122816
13,The midterms made state governments bluer https://t.co/mifLv00Nyj,2022-11-20T18:09:04.000Z,2303751216,['1594392396384849920'],1594392396384849920
14,Our NFL predictions: https://t.co/5P0X3nxOf8,2022-11-20T14:21:03.000Z,2303751216,['1594335014962929664'],1594335014962929664
15,"Brazil is the favorite and Messi is the star, but the 2022 World Cup is up for grabs. https://t.co/D4qwmneMuG",2022-11-20T14:14:05.000Z,2303751216,['1594333261085298689'],1594333261085298689
16,Say hello to our World Cup predictions 👋 https://t.co/MoKBp37yzo,2022-11-20T13:23:06.000Z,2303751216,['1594320432546594817'],1594320432546594817
17,"When it comes to explaining election outcomes, reality is usually messier than a just-so story. https://t.co/Fri9sHZNNS",2022-11-20T00:29:04.000Z,2303751216,['1594125640218746880'],1594125640218746880
18,Congress will have the most Black Republicans in over a century — but that’s not saying a lot.  https://t.co/RMDWa6Ykro,2022-11-19T22:42:04.000Z,2303751216,['1594098711495430145'],1594098711495430145
19,"Election denialism lives on, even as candidates who support it concede https://t.co/Rv8kMqjVpF",2022-11-19T20:20:04.000Z,2303751216,['1594062976012910593'],1594062976012910593
20,Even the weakest group this year is strong by historical standards. https://t.co/nundlAHANZ,2022-11-19T20:00:07.000Z,2303751216,['1594057956844535808'],1594057956844535808
21,Our 2022-23 NHL predictions: https://t.co/zI9cNpvpqv,2022-11-19T18:42:03.000Z,2303751216,['1594038311512936449'],1594038311512936449
22,How many turkey trotters can you pass? https://t.co/v7uxS4Mu1X,2022-11-19T16:31:04.000Z,2303751216,['1594005345071947777'],1594005345071947777
23,The New Jersey Devils are scorching the NHL again https://t.co/m80afScErt,2022-11-19T14:45:03.000Z,2303751216,['1593978666865795073'],1593978666865795073
24,Kyrie Irving's stats aren't worth the drama https://t.co/wa4yTpQ8rs,2022-11-19T01:28:07.000Z,2303751216,['1593778112709685249'],1593778112709685249
25,So you think you can explain the election https://t.co/wCeBisWjjn,2022-11-19T01:04:04.000Z,2303751216,['1593772058219057153'],1593772058219057153
26,The Riddler: How many turkey trotters can you pass? https://t.co/ppme70sHlL,2022-11-19T00:45:04.000Z,2303751216,['1593767277291503616'],1593767277291503616
27,"Brazil is the favorite and Messi is the star, but the 2022 World Cup is up for grabs. https://t.co/Xcd4cMqZcA",2022-11-19T00:19:05.000Z,2303751216,['1593760739440869376'],1593760739440869376
28,How our 2022 World Cup predictions work: https://t.co/xSD0Hb1VuA,2022-11-18T23:46:02.000Z,2303751216,['1593752420999630848'],1593752420999630848
29,Election denial is alive and well and still capable of rearing its ugly head in 2024. https://t.co/B9f7v2syEj,2022-11-18T23:20:03.000Z,2303751216,['1593745883849433088'],1593745883849433088
30,From @NateSilver538: Why DeSantis is a major threat to Trump’s reelection https://t.co/v8gehgCGe3,2022-11-18T22:33:02.000Z,2303751216,['1593734050258173952'],1593734050258173952
31,Is the United States in an era of high voter turnout? https://t.co/foyE4YTMd6,2022-11-18T22:10:03.000Z,2303751216,['1593728268246687745'],1593728268246687745
32,Here’s how everything shook out in the 2022 election — and the handful of races that are still up in the air: https://t.co/VmKbknZzRw,2022-11-18T21:52:22.000Z,2303751216,['1593723815829307404'],1593723815829307404
33,Our 2022 World Cup predictions: https://t.co/63JsgOQwor,2022-11-18T21:39:06.000Z,2303751216,['1593720479570722817'],1593720479570722817
34,"While Trump has kept a tight grip on the GOP since 2016, his support is no longer unanimous, especially among party elites. https://t.co/YWgoQyGLS2 https://t.co/tkRzIzMJzA",2022-11-18T21:15:07.000Z,2303751216,['1593714443459993601'],1593714443459993601
35,The start of the tournament comes with plenty of questions about who might lift soccer’s most prestigious trophy. https://t.co/W5vE3GLiH3,2022-11-18T20:32:07.000Z,2303751216,['1593703621975281665'],1593703621975281665
36,Tracking Trump's favorability with Americans: https://t.co/xlvJmrQe9t,2022-11-18T20:20:04.000Z,2303751216,['1593700590202355714'],1593700590202355714
37,"For a team that went 27-55 last season and hasn’t posted either a winning record or a positive scoring margin in five years, there’s a sense of growing excitement that hasn’t been felt since the glory days of yesteryear. https://t.co/T1Sgn23KJN",2022-11-18T19:45:10.000Z,2303751216,['1593691803756417025'],1593691803756417025
